Start Date/time (UTC);End Date/time (UTC);Location in meters (m);SCG warning level (1 to 3 or Noise)
2022-01-14 06:33:46.295122500;2022-01-21 12:08:54.148022100;1.0076562390715909;N
2022-01-14 06:34:04.435810000;2022-01-21 12:08:57.367184400;366.4003181659224;N
2022-01-14 06:34:21.217344600;;389.85122725683135;N
2022-01-21 12:08:54.163997300;;1.0076562390715909;N
2022-01-21 12:08:57.286172600;;102.98246873907158;N
2022-01-21 12:08:57.383280700;;366.4003181659224;N
2021-12-29 14:03:03.601166900;2022-02-19 09:36:07.648111000;389.851227256816;N
2022-01-06 08:55:19.384862000;2022-02-04 14:24:37.668657100;341.1905908931797;N
2022-01-06 08:55:19.614941600;2022-02-19 09:36:07.648111000;389.851227256816;N
2022-01-14 06:34:21.217344600;2022-02-19 09:36:07.648111000;389.851227256816;N
2022-01-21 12:08:54.163997300;2022-02-28 11:39:33.973871700;1.0076562390610124;N
2022-01-21 12:08:57.286172600;2022-02-06 20:31:41.790189700;102.98246873906099;N
2022-01-21 12:08:57.383280700;2022-02-14 21:50:42.577113300;366.4003181659069;N
2022-02-04 14:24:37.688064800;2022-02-14 21:50:42.469151300;341.1905908931797;N
2022-02-04 14:24:37.791608800;2022-02-19 09:36:07.648111000;389.851227256816;N
2022-02-06 20:31:41.807813400;2022-02-28 11:39:34.124356900;102.98246873906099;N
2022-02-14 21:50:42.485150600;;341.1905908931797;N
2022-02-14 21:50:42.593124000;2022-02-28 11:39:34.234846000;366.4003181659069;N
2022-02-28 11:39:33.997050000;;1.0076562390610124;N
2022-02-28 11:39:34.143034800;;102.98246873906099;N
2022-02-28 11:39:34.252797800;;366.4003181659069;N
2021-12-08 12:30:18.731400700;2022-03-11 04:27:14.350543100;102.98246873906601;N
2021-12-29 14:02:59.077886700;2022-03-11 04:27:14.350543100;102.98246873906601;N
2022-01-06 08:55:19.271213200;2022-03-11 04:27:14.350543100;102.98246873906601;N
2022-01-21 12:08:57.286172600;2022-03-11 04:27:14.350543100;102.98246873906601;N
2022-02-06 20:31:41.807813400;2022-03-11 04:27:14.350543100;102.98246873906601;N
2022-02-14 21:50:42.485150600;2022-03-03 07:04:03.250214100;341.19059089318694;N
2022-02-28 11:39:33.997050000;2022-03-10 20:00:27.677867200;1.0076562390660322;N
2022-02-28 11:39:34.143034800;2022-03-11 04:27:14.350543100;102.98246873906601;N
2022-02-28 11:39:34.252797800;2022-03-10 20:00:27.992936000;366.40031816591414;N
2022-03-03 07:04:03.265915000;;341.19059089318694;N
2022-03-10 20:00:27.702707600;;1.0076562390660322;N
2022-03-10 20:00:27.850660300;2022-03-11 04:27:14.350543100;102.98246873906601;N
2022-03-10 20:00:28.018953300;;366.40031816591414;N
